DEPT,AT10,AT90,GR,HCAL,NPHI,NPOR,RHOZ,DTCO,DTSM,DTST,PR
89,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
89.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
90,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
90.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
91,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
91.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
92,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
92.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
93,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
93.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
94,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
94.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
95,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
95.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
96,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
96.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
97,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
97.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
98,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
98.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
99,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
99.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
100,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
100.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
101,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
101.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
102,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
102.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
103,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
103.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
104,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
104.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
105,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
105.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
106,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
106.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
107,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
107.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
108,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
108.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
109,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
109.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
110,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
110.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
111,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
111.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
112,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
112.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
113,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
113.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
114,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
114.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
115,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
115.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
116,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
116.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
117,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
117.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
118,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
118.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
119,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
119.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
120,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
120.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
121,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
121.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
122,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
122.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
123,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
123.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
124,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
124.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
125,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
125.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
126,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
126.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
127,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
127.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
128,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
128.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
129,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
129.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
130,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
130.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
131,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
131.5,1.552,1.805,48.58,4.302,0.562,0.559,1.978,55.936,-999.25,277.094,-999.25
