DEPT,AT90,GR,HCAL,NPHI,RHOZ,DTCO,DTSM
7197,1.875,104.923,8.9,0.131,2.582,69.462,124.115
7197.5,1.968,111.768,8.915,0.124,2.574,69.442,123.838
7198,1.997,99.922,8.93,0.121,2.573,69.383,123.785
7198.5,2.012,95.353,8.941,0.114,2.571,69.449,124.109
7199,1.893,87.719,8.986,0.107,2.579,69.643,124.441
7199.5,1.738,91.799,8.975,0.109,2.581,70.151,124.355
7200,1.597,99.133,8.919,0.12,2.576,70.385,124.118
7200.5,1.472,103.345,8.941,0.136,2.559,70.293,124.782
7201,1.373,105.965,8.93,0.138,2.538,70.377,124.518
7201.5,1.297,99.627,8.919,0.147,2.509,70.431,124.292
7202,1.232,91.861,8.915,0.154,2.49,70.669,124.586
7202.5,1.16,76.832,8.907,0.143,2.486,70.699,123.98
7203,1.096,64.601,8.862,0.128,2.502,70.651,123.788
7203.5,1.047,63.943,8.885,0.127,2.506,70.718,124.145
7204,1.01,69.639,8.87,0.135,2.494,71.006,124.361
7204.5,0.997,70.287,8.862,0.136,2.48,71.33,124.621
7205,0.987,70.156,8.84,0.124,2.485,71.724,126.478
7205.5,0.963,73.959,8.885,0.129,2.489,72.214,126.814
7206,0.917,79.237,8.9,0.145,2.476,73.252,127.41
7206.5,0.879,82.791,8.862,0.172,2.451,73.624,128.149
7207,0.857,77.935,8.896,0.176,2.437,73.78,128.251
7207.5,0.866,81.081,8.941,0.183,2.44,74.255,128.308
7208,0.88,83.294,8.877,0.166,2.437,74.399,129.817
7208.5,0.898,85.019,8.862,0.167,2.437,74.69,130.937
7209,0.909,83.44,8.851,0.152,2.437,74.657,130.917
7209.5,0.884,81.358,8.851,0.155,2.443,74.474,129.7
7210,0.87,83.638,8.874,0.156,2.438,74.422,130.422
7210.5,0.864,82.848,8.896,0.168,2.437,74.304,129.529
7211,0.87,82.585,8.87,0.163,2.443,74.352,130.646
7211.5,0.875,83.861,8.806,0.171,2.464,74.337,130.557
7212,0.865,92.059,8.84,0.172,2.474,74.409,130.714
7212.5,0.84,95.694,8.84,0.182,2.47,74.458,130.905
7213,0.822,96.545,8.84,0.183,2.454,74.363,130.562
7213.5,0.832,92.295,8.84,0.18,2.446,74.363,130.295
7214,0.835,87.871,8.862,0.17,2.453,74.51,131.159
7214.5,0.825,84.649,8.896,0.162,2.463,74.657,130.469
7215,0.811,79.384,8.919,0.163,2.459,74.824,130.179
7215.5,0.786,79.121,8.874,0.175,2.441,74.799,130.47
7216,0.753,80.817,8.907,0.183,2.419,74.607,129.485
7216.5,0.725,82.938,8.907,0.189,2.421,74.445,129.15
7217,0.727,83.075,8.877,0.19,2.435,74.177,129.898
7217.5,0.776,76.362,8.93,0.176,2.45,74.044,129.356
7218,0.808,73.979,8.964,0.15,2.448,73.989,130.225
7218.5,0.805,70.024,8.975,0.138,2.436,73.857,130.789
7219,0.825,75.143,8.975,0.144,2.422,73.737,131.241
7219.5,0.835,80.276,9.009,0.164,2.418,73.387,129.784
7220,0.832,90.429,8.986,0.165,2.428,73.047,129.75
7220.5,0.845,95.051,9.065,0.167,2.453,72.856,129.278
7221,0.839,100.579,9.426,0.151,2.483,72.768,129.285
7221.5,0.9,101.219,9.268,0.157,2.501,72.618,128.641
7222,1.03,102.026,9.099,0.159,2.506,71.807,128.853
7222.5,1.216,97.946,9.088,0.153,2.52,71.253,128.713
7223,1.383,99.526,9.088,0.139,2.55,70.678,123.952
7223.5,1.501,101.469,9.076,0.117,2.57,70.169,123.572
7224,1.615,102.917,9.065,0.116,2.574,69.431,122.274
7224.5,1.778,100.303,9.031,0.122,2.552,68.885,120.692
7225,1.973,101.632,9.02,0.133,2.55,68.46,120.139
7225.5,2.091,106.945,9.043,0.139,2.549,67.891,119.877
7226,2.183,105.743,9.028,0.142,2.558,67.763,119.464
7226.5,2.224,100.741,9.028,0.133,2.559,67.569,119.011
7227,2.152,97.402,9.054,0.118,2.565,67.65,119.218
7227.5,1.882,97.683,9.088,0.106,2.565,67.784,119.216
7228,1.704,97.551,9.028,0.106,2.563,68.021,119.848
7228.5,1.532,95.928,9.005,0.122,2.551,68.19,119.974
7229,1.406,99.019,9.043,0.131,2.533,68.86,120.228
7229.5,1.281,103.532,9.043,0.143,2.517,69.065,120.783
7230,1.185,97.854,9.009,0.143,2.505,69.57,120.906
7230.5,1.113,92.575,8.997,0.146,2.5,70.173,121.015
7231,1.039,82.924,8.99,0.143,2.5,70.436,121.82
7231.5,0.991,80.366,8.975,0.146,2.49,71.137,122.55
7232,0.93,75.692,8.975,0.144,2.474,71.955,123.106
7232.5,0.864,72.933,8.997,0.15,2.457,72.231,123.29
